question,intent
날씨 알려주겠니,날씨
날씨 정보 알려주세요,날씨
그 때 기온 어떨까,날씨
그 때 기온 좋으려나,날씨
기온 어떨 것 같은데,날씨
기온 어때,날씨
기온 말해줄래,날씨
기온 어떠니,날씨
구름 많이 꼈나,날씨
기온 어떠냐,날씨
야 기온 어때,날씨
기온 시원하니,날씨
따뜻하니 기온,날씨
인천 기온 따뜻해,날씨
부산 시원해,날씨
부산 시원하니,날씨
시원한 기온니,날씨
밀양 지금 기온 시원해,날씨
구름 껴서 기온 쌀쌀해,날씨
모레 기온 알려줘,날씨
기온 어떠려나,날씨
전주 기온 어떤지 말해줘,날씨
기온 궁금해서 물어봤어,날씨
기온 알려주세요,날씨
기온 어떠려나,날씨
체감 기온 어떠려나,날씨
모레 날씨 알려주겠니,날씨
날씨 궁금해,날씨
지금 날씨 어떤데,날씨
저기 날씨 어때,날씨
날씨 완전 문젠데,날씨
전주 날씨 시원할까,날씨
시원한 날씨니,날씨
전주 날씨 한 번 알려줘,날씨
모레 날씨 궁금해,날씨
날씨 궁금해요,날씨
날씨 어떨까,날씨
하늘 우박 떨어지네,날씨
지금 날씨 어때,날씨
체감날씨 좀 알려줄래,날씨
궁금해 체감날씨,날씨
어때 좀 체감온도,날씨
화요일 근데 온도 어떠려나,날씨
해 떴니 지금,날씨
하늘 해 떴니 지금,날씨
날씨 어때 지금,날씨
날씨 알려주세요,날씨
아 온도 흐리네,날씨
어떤데 온도,날씨
온도 알려줬으면 졸겠어,날씨
천둥 치나,날씨
하늘 구름 많네,날씨
화요일 여행갈건데 온도 알려줘,날씨
온도 궁금하네,날씨
모레 맑니,날씨
화요일 해 뜰까,날씨
온도 많이 흐리려나,날씨
알려주세요 온도,날씨
구름 꼈나,날씨
구름 끼었나,날씨
지금 하늘 구름 많니,날씨
온도 알려주세요 궁금해요,날씨
맑으려나 화요일,날씨
기상상태 궁금해서,날씨
비 안 내려야 하는데,날씨
기상상태 따뜻하려나,날씨
날씨 따뜻하겠지,날씨
부천 현재 바람 시원하니,날씨
날씨 알려주세요,날씨
화요일 맑겠지,날씨
서울 다음 주 기상상태 알려줄래요,날씨
부안 기상상태 어떻게 돼,날씨
모레 서천 기상상태 좀 알려줄수 있니,날씨
화요일 기상상태 영덕 알려줄수 있어,날씨
이번 주 날씨 기상상태 알려줄래,날씨
구암 다음 주 기상상태 알려줘,날씨
이번 주 영등포 기상상태 줘,날씨
구로 다음 주 기상상태 알려줄래,날씨
일산 기상상태 어떻게 돼요,날씨
모레 안암 기상상태 좀 알려줄수 있니,날씨
목요일 기상상태 알려줄수 있어,날씨
이번 주 홍대 기상상태 알려줄래,날씨
남구 다음 주 날씨 알려줘,날씨
이번 주 보령 날씨 줘,날씨
하늘 맑을까,날씨
