question,label
정치적 요즘 이슈 최근 알려줘,뉴스이슈
요즘 이슈 알려줘,뉴스이슈
요즘 사회적인 이슈 알려줘,뉴스이슈
최근 이슈 알려줘,뉴스이슈
요즘 무슨일이 있었니,뉴스이슈
요슴 있던일 알려줘,뉴스이슈
최근 있던일 최근 알려줘,뉴스이슈
요즘 핫한게 뭐니,뉴스이슈
최근 핫했던것 알려줘,뉴스이슈
요즘 최신의 이슈가 최근 뭐니,뉴스이슈
요즘 핫했던 이슈 알려줘,뉴스이슈
스포츠 신문 읽어줘요,뉴스이슈
문재인 나온 뉴스 들려줘요,뉴스이슈
카카오톡 나온 기사 읽어줄래요,뉴스이슈
그제 축구 결과 알려줄래요,뉴스이슈
어제 농구 결과 알려줘요,뉴스이슈
그제 농구 결과 알려줘요,뉴스이슈
버닝썬 사건 알려줄래요,뉴스이슈
주요 뉴스 들려줘,뉴스이슈
핫한 뉴스 알려줄래요,뉴스이슈
요즘 소식 전해줘요,뉴스이슈
최근 뉴스 전해줘,뉴스이슈
주요 뉴스 들려줘요,뉴스이슈
정치 기사 알려줘,뉴스이슈
단독 신문 전해줘요,뉴스이슈
정치 기사 전해줘요,뉴스이슈
손흥민 무슨 뉴스요,뉴스이슈
그제 야구 삼성 알려줄래요,뉴스이슈
저번 주 야구 에스케이 알려줄래요,뉴스이슈
어제 농구 금호 타이어 알려줄래요,뉴스이슈
이번 주 농구 케이씨씨 알려줄래요,뉴스이슈
그제 축구 현대 유나이티드 결과 알려줄래요,뉴스이슈
저번 주 축구 맨체스터 알려줄래요,뉴스이슈
행복해지는 얘기 해줄래,명언
좋은 명언 들려주라,명언
명언 알려줘,명언
좋은 명언 하나 해줄래요,명언
좋은 명언 하나만 들려주세요,명언
좋은 명언 들려주겠나요,명언
나 좋은 명언 하나만 들려줘,명언
좋은 명언 좀 해줘 심심하거든,명언
나한테 좋은 명언해줄 수 있냐,명언
나 좋은 명언 좀 들려주라,명언
좋은 명언 좀 해봐,명언
힘이되는 명언 알려줘,명언
행복해지는 명언 알려줘,명언
멋진 얘기 해줘,명언
멋진 명언 알려줘,명언
나에게 명언 알려줘,명언
나에게 좋은 말 좀 해줄래,명언
좋은 명언 하나만 들려주세요,명언
좋은 명언 들려주겠나요,명언
나 좋은 명언 하나만 들려줘,명언
좋은 명언 좀 해줘 심심하거든,명언
나한테 좋은 명언해줄 수 있냐,명언
나 좋은 명언 좀 들려주라,명언
좋은 명언 좀 해봐,명언
너 나한테 좋은 명언 들려줘야 해,명언
저기 좋은 명언 들려주겠나요,명언
저한테 좋은 명언 들려주세요,명언
저 혹시 좋은 명언 좀 들려주세요,명언
좋은 명언 한 번만 부탁합니다,명언
조언이 되는 명언 해줄래요,명언
조언이 되는 명언 하나 들려줘요,명언
프랑스 무슨 뜻이야,번역
중국 무슨 뜻 설명해줘,번역
포기 무슨 뜻이니,번역
크레용 무슨 뜻인지 설명해줘,번역
코뿔소 중국어 뭔지 알려줄래요,번역
토마토 프랑스어 번역요,번역
감 뭔지 이탈리아어 번역해줘요,번역
창문 번역해줘요,번역
상어 뭔지 영어 번역해줄래요,번역
이 문장 중국어 말해줘요,번역
고치다 라틴어 뭔데,번역
박사 라틴어 뭔지 알아,번역
동굴 그리스어 뭐니,번역
리모컨 그리스어 뭔지 알아,번역
이 단어 그리스어 말해주라,번역
칫솔 일본말 뭔지 말해줘,번역
경찰 일본어 말해줘,번역
이 단어 일본어 뭔지 알고있니,번역
학교 언제가나요 일본어 뭐야,번역
설거지 해야해요 영어 뭐야,번역
사랑해 일본어 번역해줘요,번역
일본어 번역해주세요,번역
가위 일본어 무슨 단어니,번역
등산 일본어 뭔지 알려줘요,번역
오징어 일본어 뭔데요,번역
문어 일본어 뭔지 알아요,번역
돼지 일본어 뭔지 알려줄래요,번역
이 문장 일본어 말해줘요,번역
해파리 영어 무슨 단어니,번역
이 단어 영어 말해주세요,번역
사랑 영어 알려줘요,번역
영어 알려줘요,번역
자전거 영어 뭔지 알아요,번역
영어 오징어 먹고싶어요 뭐에요,번역
