question,label
정치적 요즘 이슈 최근 알려줘,OOD
요즘 이슈 알려줘,OOD
요즘 사회적인 이슈 알려줘,OOD
최근 이슈 알려줘,OOD
요즘 무슨일이 있었니,OOD
요슴 있던일 알려줘,OOD
최근 있던일 최근 알려줘,OOD
요즘 핫한게 뭐니,OOD
최근 핫했던것 알려줘,OOD
요즘 최신의 이슈가 최근 뭐니,OOD
요즘 핫했던 이슈 알려줘,OOD
스포츠 신문 읽어줘요,OOD
문재인 나온 뉴스 들려줘요,OOD
카카오톡 나온 기사 읽어줄래요,OOD
그제 축구 결과 알려줄래요,OOD
어제 농구 결과 알려줘요,OOD
그제 농구 결과 알려줘요,OOD
버닝썬 사건 알려줄래요,OOD
주요 뉴스 들려줘,OOD
핫한 뉴스 알려줄래요,OOD
요즘 소식 전해줘요,OOD
최근 뉴스 전해줘,OOD
주요 뉴스 들려줘요,OOD
정치 기사 알려줘,OOD
단독 신문 전해줘요,OOD
정치 기사 전해줘요,OOD
손흥민 무슨 뉴스요,OOD
그제 야구 삼성 알려줄래요,OOD
저번 주 야구 에스케이 알려줄래요,OOD
어제 농구 금호 타이어 알려줄래요,OOD
이번 주 농구 케이씨씨 알려줄래요,OOD
그제 축구 현대 유나이티드 결과 알려줄래요,OOD
저번 주 축구 맨체스터 알려줄래요,OOD
행복해지는 얘기 해줄래,OOD
좋은 명언 들려주라,OOD
명언 알려줘,OOD
좋은 명언 하나 해줄래요,OOD
좋은 명언 하나만 들려주세요,OOD
좋은 명언 들려주겠나요,OOD
나 좋은 명언 하나만 들려줘,OOD
좋은 명언 좀 해줘 심심하거든,OOD
나한테 좋은 명언해줄 수 있냐,OOD
나 좋은 명언 좀 들려주라,OOD
좋은 명언 좀 해봐,OOD
힘이되는 명언 알려줘,OOD
행복해지는 명언 알려줘,OOD
멋진 얘기 해줘,OOD
멋진 명언 알려줘,OOD
나에게 명언 알려줘,OOD
나에게 좋은 말 좀 해줄래,OOD
좋은 명언 하나만 들려주세요,OOD
좋은 명언 들려주겠나요,OOD
나 좋은 명언 하나만 들려줘,OOD
좋은 명언 좀 해줘 심심하거든,OOD
나한테 좋은 명언해줄 수 있냐,OOD
나 좋은 명언 좀 들려주라,OOD
