question,label
근처 빵 맛집 알려줘,S-LOCATION RESTAUTANT O O
인기 많은 팥빵 빵집 추천 좀 해줄래,O O S-RESTAURANT O O O O
맛집 알려줘,O O
주변 맛집 알려줘,O O O
맛 좋은 맛집 알려줄래,O O O O
고깃집 추천해줘,S-RESTAURANT O
사탕 맛있는 곳 알려줘,S-RESTAURANT O O O
유명한 고깃집 무한리필 추천해줘,O S-RESTAURANT O O
무한리필집 추천 해줄래,O O O
부대찌개 잘하는 맛집 알려줘,S-RESTAURANT O O O
주변 샐러드 맛집 어디야,O S-RESTAURANT O O
근처 찜닭집 알려줘,O S-RESTAURANT O
찜닭 맛집 추천해줘,S-RESTAURANT O O
김치찌개 알려줘,S-RESTAURANT O
튀김 잘하는 맛집 어디니,S-RESTAURANT O O O
주변 아구찜 맛집 알려줘,O S-RESTAURANT O O
간장게장 잘하는 곳 어디야,S-RESTAURANT O O O
샐러드 먹고 싶은데 맛집 어디야,S-RESTAURANT O O O O
카레 먹고싶어,S-RESTAURANT O
자장면 먹고싶은데,S-RESTAURANT O
초밥 식당 추천해줘,S-RESTAURANT O O
매콤한 숙주 볶음 알려줘,O B-RESTAURANT E-RESTAURANT O
매운 떡뽁이 맛집 어디야,O S-RESTAURANT O O
달콤한 브라우니 먹고싶어,O S-RESTAURANT O
유명한 창원 브라우니 카페,O S-LOCATION S-RESTAURANT O
마카롱 카페 달콤한 머랭쿠키,S-RESTAURANT O O S-RESTAURANT
머랭쿠키 잘하는 맛집 있니,S-RESTAURANT O O O
초콜릿 맛집 알려줘,S-RESTAURANT O O
초콜릿 맛집 어디야,S-RESTAURANT O O
음식점 유명한 곳 어디 있니,O O O O O
수제비 맛집 어디 있어,S-RESTAURANT O O O
김치찌개 맛집 알려줄래,S-RESTAURANT O O
유명한 찌개 맛집 추천해줘,O S-RESTAURANT O O
햄버거 맛집 알려줘,S-RESTAURANT O O
근처 햄버거 맛집 어디니,O S-RESTAURANT O O
수제버거 어디 맛있니,S-RESTAURANT O O
치킨집 추천해줘,S-RESTAURANT O
치킨 맛있는 곳 추천 해줄래,S-RESTAURANT O O O O
근처 통닭집 추천해줘,O S-RESTAURANT O
주변 양념 치킨 잘 하는 곳 추천,O B-RESTAURANT E-RESTAURANT O O O O
마라롱샤 맛집 어디니,S-RESTAURANT O O
마라샹궈 맛집 추천 해줘,S-RESTAURANT O O O
마라탕 잘 하는 곳 어디 있어,S-RESTAURANT O O O O O
한식 맛집 알려줘,S-RESTAURANT O O
백반집 잘하는 곳 어디니,S-RESTAURANT O O O
양식 먹고 싶은데 맛집 있니,S-RESTAURANT O O O O
근처 매운탕 맛집 알려줘,O S-RESTAURANT O O
만두 맛집 알려줘,S-RESTAURANT O O
찐빵 맛집 알려주세요,S-RESTAURANT O O
짬뽕 맛집 알려주세요,S-RESTAURANT O O
초밥 잘 하는 곳 어디 맛있니,S-RESTAURANT O O O O O
국밥집 알려줘,S-RESTAURANT O
국밥 먹고싶어,S-RESTAURANT O
뜨끈하고 든든하게 국밥 먹고싶어,O O S-RESTAURANT O
감자탕 먹고싶어,S-RESTAURANT O
라면 식당 알려줘,S-RESTAURANT O O
라멘 잘하는 곳 추천 좀 해줘,S-RESTAURANT O O O O O
일식집 알려줄래,S-RESTAURANT O
동두천 스테이크 맛집 알려줘,S-LOCATION S-RESTAURANT O O
근처 스테이크 맛집 어디야,O S-RESTAURANT O O
강남 함박 스테이크 맛집 잘하는 곳 알려줘,S-LOCATION B-RESTAURANT E-RESTAURANT O O O O
알리오 올리오 강남구 맛집 알려줘,B-RESTAURANT E-RESTAURANT S-LOCATION O O
창녕 파스타 맛집 추천해주겠니,S-LOCATION S-RESTAURANT O O
밀양 근처 파스타 잘 하는 곳 있니,S-LOCATION O S-RESTAURANT O O O O
임실 족발 맛집 알려줘,S-LOCATION S-RESTAURANT O O
익산 양식집 맛집 추천 해줄래,S-LOCATION S-RESTAURANT O O O
군산 일식집 맛집 초밥 추천해줘,S-LOCATION S-RESTAURANT O S-RESTAURANT O
스테이크 맛집 알려줘,S-RESTAURANT O O
근처 스테이크 맛집 어디야,O S-RESTAURANT O O
맛집 잘하는 곳 알려줘,O O O O
알리오 올리오 맛집 알려줘,B-RESTAURANT E-RESTAURANT O O
파스타 맛집 추천해주겠니,S-RESTAURANT O O
근처 파스타 잘 하는 곳 있니,O S-RESTAURANT O O O O
족발 맛집 알려줘,S-RESTAURANT O O
양식집 식당 추천 해줄래,S-RESTAURANT O O O
일식집 맛집 초밥 추천해줘,S-RESTAURANT O S-RESTAURANT O
분식집 떡볶이 맛집 알려줘,B-RESTAURANT E-RESTAURANT O O
돈까스 먹고싶다,S-RESTAURANT O
중식 맛집 알려줘,S-RESTAURANT O O
주변 케익 빵집 추천해줘,O S-RESTAURANT O O
분식 맛집 알려줘,S-RESTAURANT O O
갈메기 마포구 맛집,S-RESTAURANT S-LOCATION O
강동 맛집 어디야,S-LOCATION O O
마포 갈메기 맛집 무한리필,S-LOCATION S-RESTAURANT O O
