question,label
서울 꽃구경 가고 싶다고,S-LOCATION S-PURPOSE O O
인천 바다 보러 갈거 같아,S-PURPOSE O O O O
어느 여행지 좋을까,O O O
부산 야구장 여행지 알고 싶어,S-LOCATION S-PURPOSE O O O
갈만한 대구 스키 여행지 추천해 주세요,O S-LOCATION S-PURPOSE O O O
광주 꽃구경 가고 싶다고요,S-LOCATION S-PURPOSE O O
울산 수목원 알려줘 봐요,S-LOCATION S-PURPOSE O O
여행지 있는지 모르겠네요,O O O
인천 워터파크 개장한 곳 있어,S-LOCATION S-PURPOSE O O O
어디 여행지 가겠냐,O O O
파주 유명한 공연장 알려줘,S-LOCATION O S-PURPOSE O
창원 여행 갈만한 바다,S-LOCATION O O S-PURPOSE
평택 갈만한 스키장 여행 해보고 싶네,S-LOCATION O S-PURPOSE O O O
제주도 템플스테이 여행 갈 데 추천해 줘,S-LOCATION S-PURPOSE O O O O O
전주 가까운 바다 여행지 보여줘 봐요,S-LOCATION O S-PURPOSE O O O
용인 가까운 축구장 어딨어,S-LOCATION O S-PURPOSE O
붐비는 여행지,O O
청주 가을 풍경 예쁜 산 가보고 싶어,S-LOCATION S-DATE O O S-PURPOSE O O
안산 다시 오고 싶은 템플스테이,S-LOCATION O O O S-PURPOSE
시흥 가까운 물놀이 알려 좀 줘봐요,S-LOCATION O S-PURPOSE O O O
춘천 동물원 여행지 알려주라,S-LOCATION S-PURPOSE O O
목포 꽃놀이 어디 가는게 좋을까,S-LOCATION S-PURPOSE O O O
대산면 가까운 사찰 여행지 추천해 줬으면 해요,S-LOCATION O S-PURPOSE O O O O
강남구 미술관 여행지 알려줘,S-LOCATION S-PURPOSE O O
강동구 경기장 구경 갈래,S-LOCATION S-PURPOSE O O
강북구 볼링장 가고 싶네요,S-LOCATION S-PURPOSE O O
강서구 가까운 문학관 여행지 어디 가야 할까,S-LOCATION O S-PURPOSE O O O O
관악구 갈만한 단풍놀이 추천받고 싶은데요,S-LOCATION O S-PURPOSE O O
혹시 광진구 전시관 갈만한 데 어디니,O S-LOCATION S-PURPOSE O O O
구로구 가까운 템플스테이 여행지 원해요,S-LOCATION O S-PURPOSE O O
금천구 꽃구경 위치 알려줘,S-LOCATION S-PURPOSE O O
노원구 가까운 절 여행지 알려주면 좋겠어요,S-LOCATION O S-PURPOSE O O O
도봉구 박물관 갈만한 곳 추천해 줘,S-LOCATION S-PURPOSE O O O O
동대문구 놀이공원 알고 싶다고요,S-LOCATION S-PURPOSE O O
동작구 계곡 가고 싶은데 알려줄래,S-LOCATION S-PURPOSE O O O
여행지 보고 싶다고,O O O
서대문구 놀이동산 괜찮을까요,S-LOCATION S-PURPOSE O
서초구 유명한 등산 관광지 추천해 주세요,S-LOCATION O S-PURPOSE O O O
성동구 주변 갈만한 계곡 어디,S-LOCATION O O S-PURPOSE O
성북구 수목원 가고 싶어,S-LOCATION S-PURPOSE O O
송파구 가까운 축구 여행지 가고싶어,S-LOCATION O S-PURPOSE O O
양천구 유명한 전시관 알려줘 봐요,S-LOCATION O S-PURPOSE O O
영등포구 속 뻥 뚫리는 산책로,S-LOCATION O O O S-PURPOSE
광명구 물놀이 하고 싶어,S-LOCATION S-PURPOSE O O
은평구 유명한 산 여행지 어디 있니,S-LOCATION O S-PURPOSE O O O
종로구 가족끼리 계곡 여행,S-LOCATION O S-PURPOSE O
중구 축구장 어디,S-LOCATION S-PURPOSE O
중랑구 템플스테이 여행지 추천해 줘,S-LOCATION S-PURPOSE O O O
부산 서구 해수욕장 추천 필요해,B-LOCATION E-LOCATION S-PURPOSE O O
서울 동구 꽃구경 할만한 곳 어디,B-LOCATION E-LOCATION S-PURPOSE O O O
영도구 계곡 보고 싶은데 추천해 줘,S-LOCATION S-PURPOSE O O O O
부산진구 시원한 여름 축제,S-LOCATION O S-DATE S-PURPOSE
동래구 유명한 꽃구경 축제 보고 싶어,S-LOCATION O B-PURPOSE E-PURPOSE O O
성산읍 수목원 추천해 봐요,S-LOCATION S-PURPOSE O O
북구 산 여행지 좀 알려줘,S-LOCATION S-PURPOSE O O O
부산 해운대 유명한 박물관 있냐,B-LOCATION E-LOCATION O S-PURPOSE O
구좌읍 벚꽃 핀 곳 있니,S-LOCATION S-PURPOSE O O O
금정구 꽃놀이 어디서 하는지 알려줘,S-LOCATION S-PURPOSE O O O
연제구 여름 풍경 예쁜 산 알고 있니,S-LOCATION S-DATE O O S-PURPOSE O O
수영구 전시관 여행지 추천해 줄 수 있어,S-LOCATION S-PURPOSE O O O O O
사상구 갈만한 바다 여행지 있나,S-LOCATION O S-PURPOSE O O
기장구 축구장 여행지 뭐 있냐,S-LOCATION S-PURPOSE O O O
미추홀구 3월 축제 추천해 주지 않을래,S-LOCATION S-DATE S-PURPOSE O O O
여행지 정보,O O
남동구 유명한 미술관 추천해 봐,S-LOCATION O S-PURPOSE O O
부평구 가까운 놀이공원 원해요,S-LOCATION O S-PURPOSE O
계양구 갈만한 야구 여행지 알려주세요,S-LOCATION O S-PURPOSE O O
여행지 띄워줘,O O
괜찮은 달서구 봄 축제 있는지 알려줘,O S-LOCATION S-DATE S-PURPOSE O O
여행지 띄워줄래,O O
건대 근처 쉼터 있니 알려줘,S-LOCATION O S-PURPOSE O O
신촌 가까운 야구장 어디 있어,S-LOCATION O S-PURPOSE O O
이태원 유명한 꽃구경 축제 알려줘,S-LOCATION O B-PURPOSE E-PURPOSE O
강남역 가까운 바다,S-LOCATION O S-PURPOSE
신논현역 계곡 가고 싶네,S-LOCATION S-PURPOSE O O
강남 가로수길 갈만한 산 없나요,B-LOCATION E-LOCATION O S-PURPOSE O
인사동 갈만한 워터파크 추천해 줘,S-LOCATION O S-PURPOSE O O
효자동 인기 있는 스키 여행지 추천해줘,S-LOCATION O O S-PURPOSE O O
완산구 갈만한 단풍 여행지 보고싶어요,S-LOCATION O S-PURPOSE O O
덕진구 스키장 개장한 곳 있지 않아,S-LOCATION S-PURPOSE O O O O
전라도 광주 미술관 여행지 부탁해,B-LOCATION E-LOCATION S-PURPOSE O O
서울 유명한 꽃놀이 정보,S-LOCATION O S-PURPOSE O
서울 가까운 바다 여행지 추천해 봐,S-LOCATION O S-PURPOSE O O O
부산 야구장 여행지,S-LOCATION S-PURPOSE O
한림읍 유명한 축구 여행지 보여줘 봐,S-LOCATION O S-PURPOSE O O O
생비량면 갈만한 단풍 축제 구경하고 싶은데요,S-LOCATION O B-PURPOSE E-PURPOSE O O
미천면 갈만한 단풍 여행지 추천받고 싶어요,S-LOCATION O S-PURPOSE O O O
갈법한 외서면 1월 축제 보여줘,O S-LOCATION S-DATE S-PURPOSE O
장안면 혹시 식물원 여행지 추천해 줄 수 있어,S-LOCATION O S-PURPOSE O O O O O
울릉도 가볼만한 계곡 알려주세요,S-LOCATION O S-PURPOSE O
연천 계곡 추천 받고 싶다,S-LOCATION S-PURPOSE O O O
동두천 가까운 식물원 어디 가야 하지요,S-LOCATION O S-PURPOSE O O O
포천 등산 여행지 알려줘,S-LOCATION S-PURPOSE O O
가평 시설 좋은 경기장 알려주세요,S-LOCATION O O S-PURPOSE O
여행 가려는데 의정부 식물원 여행지 추천해 줘,O O S-LOCATION S-PURPOSE O O O
양주 인기 많은 계곡 알려주세요,S-LOCATION O O S-PURPOSE O
광주 12월 축제 갈 거에요,S-LOCATION S-DATE S-PURPOSE O O
현내면 해수욕장 보고 싶네,S-LOCATION S-PURPOSE O O
안양 가까운 계곡 추천 좀 해봐요,S-LOCATION O S-PURPOSE O O O
의왕 추천해 주고픈 꽃구경,S-LOCATION O O S-PURPOSE
가볼만한 안산 워터파크 있어,O S-LOCATION S-PURPOSE O
물놀이 하고 싶은데 현남면 갈만한 데 있어,S-PURPOSE O O S-LOCATION O O O
경기도 화성 소풍 가는거 어때,B-LOCATION E-LOCATION S-PURPOSE O O
오산 축구장 어디 있을까,S-LOCATION S-PURPOSE O O
현북면 해수욕장 여행지 알려줘 봐,S-LOCATION S-PURPOSE O O O
당진 가까운 단풍놀이 여행지 알려줬으면 해,S-LOCATION O S-PURPOSE O O O
쉬고 싶은데 갈만한 천안 여행지 어디 갈까,O O O S-LOCATION O O O
아산 식물원 보여줘 봐요,S-LOCATION S-PURPOSE O O
태안 벚꽃 보고 싶다,S-LOCATION S-PURPOSE O O
홍성 놀이공원 보고 싶네요,S-LOCATION S-PURPOSE O O
예산 유명한 사찰 여행지 원해,S-LOCATION O S-PURPOSE O O
보령 가까운 동물원 여행지 어디 가야 할지 모르겠어,S-LOCATION O S-PURPOSE O O O O O
청양 유명한 축구장,S-LOCATION O S-PURPOSE
부여 수목원 여행지 가고 싶어,S-LOCATION S-PURPOSE O O O
공주 소풍 가고 싶어,S-LOCATION S-PURPOSE O O
스트레스 풀고 싶은데 논산 운동 장소 없나,O O O S-LOCATION S-PURPOSE O O
서천 박물관 알려줘,S-LOCATION S-PURPOSE O
군산 꽃구경 원해요,S-LOCATION S-PURPOSE O
추운데 익산 스키장 어때,O S-LOCATION S-PURPOSE O
김제 꽃 보고 싶은데 식물원 알려줘,S-LOCATION O O O S-PURPOSE O
사랑 받는 부안 산책로,O O S-LOCATION S-PURPOSE
완주 갈만한 깨끗한 바다 있는가,S-LOCATION O O S-PURPOSE O
영광 사찰 알고 싶다고,S-LOCATION S-PURPOSE O O
장성 바다 있지,S-LOCATION S-PURPOSE O
담양 벚꽃 여행지 띄워주세요,S-LOCATION S-PURPOSE O O
전북 순창 유명한 가을 축제 여행지 알려줘 봐요,B-LOCATION E-LOCATION O S-DATE S-PURPOSE O O O
신안 등산 갈 거에요,S-LOCATION S-PURPOSE O O
광주 전시관 추천 좀 해줘,S-LOCATION S-PURPOSE O O O
영암 물놀이 여행 어디 갈까,S-LOCATION S-PURPOSE O O O
장흥 문학관 여행지 보여줘 봐요,S-LOCATION S-PURPOSE O O O
강진 넓은 경기장 알려주세요,S-LOCATION O S-PURPOSE O
해남 7월 축제 가고 싶어,S-LOCATION S-DATE S-PURPOSE O O
진도 등산 갈거야,S-LOCATION S-PURPOSE O
완도 겨울 축제 추천해 줘라,S-LOCATION S-DATE S-PURPOSE O O
고흥 주변 축제 있니,S-LOCATION O S-PURPOSE O
거금도 넓은 방있는 호텔,S-LOCATION O O S-PURPOSE
여수 물놀이 하고 싶어,S-LOCATION S-PURPOSE O O
순천 가까운 스키 여행지 어디에요,S-LOCATION O S-PURPOSE O O
화순 가까운 놀이동산 여행지 부탁드립니다,S-LOCATION O S-PURPOSE O O
놀기 좋은 보성 계곡,O O S-LOCATION S-PURPOSE
나주 갈만한 등산 여행지 가보고 싶네요,S-LOCATION O S-PURPOSE O O O
남해 가까운 바다 여행지,S-LOCATION O S-PURPOSE O
동검도 바다 있죠,S-LOCATION S-PURPOSE O
광양 해수욕장 장소 추천해 줘,S-LOCATION S-PURPOSE O O O
호남 7월 축제 알려달라고요,S-LOCATION S-DATE S-PURPOSE O
